year,lifetime_grosss
1921,9183673
1926,814000
1927,1236166
1931,19181
1936,163577
1937,184925486
1939,225767809
1940,84658691
1941,94355616
1942,106355561
1945,21333333
1946,44058163
1947,298718
1949,989284
1950,93504257
1952,37826108
1953,147154651
1954,63791141
1955,93802289
1956,108409976
1957,27952045
1958,10410690
1959,126022622
1960,74827595
1961,188935506
1962,48173637
1963,120353160
1964,283397878
1965,334605107
1966,28000000
1967,402020165
1968,204417142
1969,243770770
1970,457667321
1971,210488088
1972,345508646
1973,788577798
1974,800212572
1975,917118018
1976,778905259
1977,1593273462
1978,1608423495
1979,1959859045
1980,2342926318
1981,2319209053
1982,2869199774
1983,2630460790
1984,3318171169
1985,2955589430
1986,3161570670
1987,3481954580
1988,3531584222
1989,4136769258
1990,4447664581
1991,4324601041
1992,4568041331
1993,5015813459
1994,5192878886
1995,5384826930
1996,5682827464
1997,6449278183
1998,6522990977
1999,7361898553
2000,7633581622
2001,8101003393
2002,9139039608
2003,9093663094
2004,9336550989
2005,8795021205
2006,9207308325
2007,9668831993
2008,9696535464
2009,10830905503
2010,10204071276
2011,10018736054
2012,10720691570
2013,10902414738
2014,10428456848
2015,11100225784
2016,11367220813
2017,11118503524
2018,11582616840
2019,6279026747
